Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
128,366.9,369.65,371.54,372.87,372.39,374.99,372.6,373.81,373.05,365.71,356.8,0,,,,,,,,,,,0,,,,,,,,,,
129,366.86,369.62,371.52,372.87,372.39,375,372.62,373.84,373.07,365.78,356.84,0,,,,,,,,,,,0,,,,,,,,,,
130,366.83,369.59,371.52,372.87,372.39,375,372.63,373.86,373.05,365.75,356.85,0,,,,,,,,,,,0,,,,,,,,,,
131,366.8,369.58,371.51,372.87,372.39,375,372.64,373.88,373.04,365.69,356.83,0,,,,,,,,,,,0,,,,,,,,,,
132,366.77,369.54,371.49,372.87,372.39,375,372.64,373.91,373.05,365.66,356.8,0,,,,,,,,,,,0,,,,,,,,,,
133,366.75,369.53,371.49,372.86,372.39,375.01,372.65,373.93,373.05,365.71,356.76,0,,,,,,,,,,,0,,,,,,,,,,
134,366.71,369.51,371.48,372.85,372.39,375.01,372.66,373.97,373.09,365.75,356.71,0,,,,,,,,,,,0,,,,,,,,,,
135,366.68,369.47,371.47,372.85,372.39,375.02,372.66,374,373.11,365.73,356.71,0,,,,,,,,,,,0,,,,,,,,,,
136,366.64,369.44,371.46,372.84,372.38,375.01,372.67,374.01,373.12,365.66,356.71,0,,,,,,,,,,,0,,,,,,,,,,
137,366.61,369.42,371.45,372.84,372.38,375.01,372.68,374.02,373.04,365.6,356.73,0,,,,,,,,,,,0,,,,,,,,,,
138,366.57,369.38,371.44,372.84,372.39,375.02,372.69,374.05,373.05,365.57,356.79,0,,,,,,,,,,,0,,,,,,,,,,
139,366.54,369.35,371.43,372.83,372.39,375.01,372.7,374.05,373.12,365.59,356.85,0,,,,,,,,,,,0,,,,,,,,,,
140,366.51,369.33,371.42,372.84,372.38,375.03,372.71,374.06,373.14,365.62,356.86,0,,,,,,,,,,,0,,,,,,,,,,
141,366.48,369.3,371.41,372.83,372.37,375.03,372.73,374.08,373.15,365.68,356.84,0,,,,,,,,,,,0,,,,,,,,,,
142,366.46,369.28,371.4,372.83,372.38,375.03,372.74,374.12,373.19,365.73,356.83,0,,,,,,,,,,,0,,,,,,,,,,
143,366.41,369.25,371.38,372.82,372.36,375.03,372.74,374.21,373.25,365.67,356.82,0,,,,,,,,,,,0,,,,,,,,,,
144,366.4,369.24,371.37,372.82,372.37,375.04,372.77,374.27,373.31,365.61,356.81,0,,,,,,,,,,,0,,,,,,,,,,
145,366.37,369.22,371.36,372.81,372.38,375.05,372.78,374.28,373.36,365.61,356.8,0,,,,,,,,,,,0,,,,,,,,,,
146,366.34,369.19,371.35,372.82,372.37,375.05,372.79,374.31,373.38,365.54,356.79,0,,,,,,,,,,,0,,,,,,,,,,
147,366.29,369.15,371.33,372.81,372.36,375.05,372.81,374.36,373.41,365.37,356.79,0,,,,,,,,,,,0,,,,,,,,,,
148,366.25,369.12,371.32,372.81,372.36,375.06,372.83,374.37,373.46,365.35,356.8,0,,,,,,,,,,,0,,,,,,,,,,
149,366.23,369.1,371.31,372.82,372.37,375.07,372.85,374.37,373.5,365.39,356.84,0,,,,,,,,,,,0,,,,,,,,,,
150,366.2,369.08,371.3,372.81,372.36,375.07,372.85,374.36,373.53,365.5,356.89,0,,,,,,,,,,,0,,,,,,,,,,
151,366.18,369.06,371.29,372.8,372.37,375.06,372.87,374.33,373.53,365.62,356.93,0,,,,,,,,,,,0,,,,,,,,,,
152,366.16,369.03,371.28,372.8,372.37,375.06,372.87,374.33,373.53,365.72,356.95,0,,,,,,,,,,,0,,,,,,,,,,
153,366.14,369.01,371.27,372.81,372.38,375.08,372.88,374.32,373.57,365.77,357,0,,,,,,,,,,,0,,,,,,,,,,
154,366.11,368.99,371.27,372.81,372.38,375.08,372.9,374.33,373.55,365.78,357.01,0,,,,,,,,,,,0,,,,,,,,,,
155,366.08,368.96,371.24,372.8,372.38,375.08,372.9,374.32,373.53,365.78,357.02,0,,,,,,,,,,,0,,,,,,,,,,
156,366.04,368.93,371.23,372.8,372.37,375.09,372.94,374.33,373.52,365.89,357.04,0,,,,,,,,,,,0,,,,,,,,,,
157,366.01,368.9,371.22,372.8,372.38,375.1,372.96,374.33,373.53,365.91,357.04,0,,,,,,,,,,,0,,,,,,,,,,
158,365.97,368.87,371.2,372.8,372.38,375.11,372.98,374.36,373.54,365.91,357.04,0,,,,,,,,,,,0,,,,,,,,,,
159,365.95,368.86,371.19,372.79,372.39,375.11,373,374.38,373.58,365.85,357.05,0,,,,,,,,,,,0,,,,,,,,,,
160,365.93,368.83,371.19,372.8,372.39,375.1,373.02,374.41,373.63,365.73,357.07,0,,,,,,,,,,,0,,,,,,,,,,
161,365.9,368.81,371.17,372.79,372.38,375.12,373.04,374.42,373.65,365.73,357.09,0,,,,,,,,,,,0,,,,,,,,,,
162,365.88,368.8,371.17,372.79,372.39,375.13,373.06,374.43,373.64,365.78,357.14,0,,,,,,,,,,,0,,,,,,,,,,
163,365.87,368.77,371.16,372.79,372.39,375.14,373.08,374.44,373.58,365.86,357.17,0,,,,,,,,,,,0,,,,,,,,,,
